"parameter","estimate","se","rse","shrinkage","file"
"ETA3",0.0185,0.00571,30.8648648648649,NA,"NM_0_0137.lst"
"ETA1",0.0651,0.0371,56.989247311828,NA,"NM_0_0138.lst"
"ETA2",0.431,0.235,54.5243619489559,NA,"NM_0_0138.lst"
"ETA3",0.0186,0.00577,31.0215053763441,NA,"NM_0_0138.lst"
"ETA1",0.0508,0.0178,35.0393700787402,NA,"NM_0_014.lst"
"ETA2",0.139,0.0693,49.8561151079137,NA,"NM_0_014.lst"
"ETA1",0.877,0,0,NA,"NM_0_0148.lst"
"ETA1",0.378,0.49,129.62962962963,NA,"NM_0_0149.lst"
"ETA1",0.517,0.432,83.5589941972921,NA,"NM_0_0150.lst"
"ETA1",0.101,0.0609,60.2970297029703,NA,"NM_0_0157.lst"
"ETA1",0.101,0.0615,60.8910891089109,NA,"NM_0_0158.lst"
"ETA1",0.101,0.0613,60.6930693069307,NA,"NM_0_0159.lst"
"ETA1",0.0477,0.0314,65.8280922431866,NA,"NM_0_0166.lst"
"ETA2",1,1,100,NA,"NM_0_0166.lst"
